"filename", "language", "JSON", "TypeScript", "CSS", "HTML", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\user\status\status.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\user\status\status.component.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 4, 17
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\utils\equal-fields.validator.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 3, 2, 15
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\utils\registration-error-state.matcher.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\utils\utils.fn.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\my file\sviluppo\FE_2021\fantacalcio\src\environments\environment.prod.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\my file\sviluppo\FE_2021\fantacalcio\src\environments\environment.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 11, 3, 18
"c:\my file\sviluppo\FE_2021\fantacalcio\src\index.html", "HTML", 0, 0, 0, 16, 0, 0, 2, 4, 22
"c:\my file\sviluppo\FE_2021\fantacalcio\src\main.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\my file\sviluppo\FE_2021\fantacalcio\src\polyfills.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 57, 8, 66
"c:\my file\sviluppo\FE_2021\fantacalcio\src\styles.css", "CSS", 0, 0, 11, 0, 0, 0, 1, 3, 15
"c:\my file\sviluppo\FE_2021\fantacalcio\src\test.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 4, 4, 26
"c:\my file\sviluppo\FE_2021\fantacalcio\tsconfig.app.json", "JSON", 14, 0, 0, 0, 0, 0, 1, 1, 16
"c:\my file\sviluppo\FE_2021\fantacalcio\tsconfig.json", "JSON", 22, 0, 0, 0, 0, 0, 1, 1, 24
"c:\my file\sviluppo\FE_2021\fantacalcio\tsconfig.spec.json", "JSON", 17, 0, 0, 0, 0, 0, 1, 1, 19
"c:\my file\sviluppo\FE_2021\fantacalcio\tslint.json", "JSON", 152, 0, 0, 0, 0, 0, 0, 1, 153
"Total", "-", 15576, 1987, 219, 533, 14, 66, 168, 711, 19274
